Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,49.240002,50.610001,48.210999,49.139999,49.139999,6775900
2021-11-05,51.150002,54.000000,51.150002,53.549999,53.549999,13542000
2021-11-08,53.980000,56.380001,53.610001,55.240002,55.240002,7768800
2021-11-09,55.189999,56.299999,54.075001,56.259998,56.259998,6752000
2021-11-10,55.430000,57.680000,53.840000,54.599998,54.599998,8000900
2021-11-11,54.840000,54.959999,52.840000,53.180000,53.180000,5164100
2021-11-12,53.389999,53.470001,52.279999,52.959999,52.959999,3768600
2021-11-15,53.000000,53.590000,50.980000,51.660000,51.660000,4385900
2021-11-16,52.112999,52.689999,51.240002,51.279999,51.279999,3559100
2021-11-17,50.770000,51.150002,49.090000,49.709999,49.709999,4381700
2021-11-18,49.700001,49.700001,48.119999,49.290001,49.290001,3645800
2021-11-19,48.799999,48.799999,47.290001,47.509998,47.509998,4662000
2021-11-22,47.290001,47.410000,43.700001,45.480000,45.480000,9101500
2021-11-23,45.389999,46.480000,44.529999,45.669998,45.669998,5096400
2021-11-24,44.560001,44.799999,43.299999,44.520000,44.520000,5861700
2021-11-26,41.680000,42.580002,40.410000,42.400002,42.400002,7584300
2021-11-29,43.000000,43.619999,40.830002,41.820000,41.820000,6633400
2021-11-30,41.240002,41.799999,39.029999,40.610001,40.610001,10057200
2021-12-01,41.740002,41.948002,37.970001,38.220001,38.220001,8231000
2021-12-02,39.299999,41.389999,38.419998,41.150002,41.150002,10766400
2021-12-03,40.900002,41.049999,38.259998,39.470001,39.470001,7656700
2021-12-06,39.709999,42.599998,38.950001,41.950001,41.950001,7735000
2021-12-07,42.880001,43.830002,41.169998,41.410000,41.410000,7956000
2021-12-08,41.994999,43.060001,41.410000,42.209999,42.209999,5472600
2021-12-09,41.709999,42.240002,40.700001,40.759998,40.759998,4556700
2021-12-10,41.080002,41.400002,39.040001,39.509998,39.509998,5170800
2021-12-13,39.000000,39.250000,37.709999,38.410000,38.410000,7789200
2021-12-14,38.259998,40.910000,38.070000,38.980000,38.980000,10123200
2021-12-15,38.889999,39.250000,37.320000,38.419998,38.419998,7238700
2021-12-16,38.810001,39.222000,37.189999,37.459999,37.459999,4403000
2021-12-17,37.180000,38.529999,36.250000,38.070000,38.070000,8219000
2021-12-20,37.520000,39.119999,36.709999,38.619999,38.619999,4875000
2021-12-21,39.029999,41.060001,38.919998,40.910000,40.910000,5947800
2021-12-22,40.799999,42.709999,40.730000,42.459999,42.459999,6219400
2021-12-23,43.070000,44.610001,42.988998,44.180000,44.180000,6242300
2021-12-27,43.939999,44.564999,43.220001,44.029999,44.029999,3966800
2021-12-28,43.779999,44.660000,43.035000,43.520000,43.520000,3401100
2021-12-29,43.430000,43.619999,42.200001,43.240002,43.240002,3147200
2021-12-30,42.540001,44.349998,42.540001,43.490002,43.490002,3436600
2021-12-31,43.320000,44.087002,42.639999,42.730000,42.730000,3235300
2022-01-03,43.389999,44.959999,42.619999,44.590000,44.590000,4975300
2022-01-04,44.660000,45.275002,43.689999,44.950001,44.950001,5650500
2022-01-05,44.900002,46.639999,43.490002,43.590000,43.590000,5505300
2022-01-06,44.130001,44.980000,42.590000,43.599998,43.599998,4787500
2022-01-07,42.700001,44.240002,42.500000,43.099998,43.099998,5570200
2022-01-10,42.959999,44.220001,41.610001,44.130001,44.130001,5061800
2022-01-11,43.779999,45.810001,43.580002,44.500000,44.500000,6345700
2022-01-12,44.389999,44.401001,42.299999,42.380001,42.380001,7169700
2022-01-13,42.680000,43.430000,42.130001,42.599998,42.599998,5607100
2022-01-14,42.209999,42.599998,40.709999,41.259998,41.259998,5620900
2022-01-18,40.886002,40.939999,38.400002,38.430000,38.430000,6903400
2022-01-19,38.500000,38.832001,36.825001,36.910000,36.910000,6943300
2022-01-20,36.970001,39.930000,36.919998,37.599998,37.599998,8194300
2022-01-21,36.709999,37.590000,35.799999,36.799999,36.799999,8478100
2022-01-24,35.880001,37.220001,34.474998,37.130001,37.130001,7779300
2022-01-25,36.070000,37.080002,35.419998,36.220001,36.220001,6959300
2022-01-26,37.169998,38.169998,35.599998,35.680000,35.680000,7512300
2022-01-27,36.189999,36.400002,34.840000,34.930000,34.930000,6314500
2022-01-28,34.804001,35.799999,33.939999,35.750000,35.750000,5044100
2022-01-31,35.590000,38.610001,35.580002,38.520000,38.520000,6836100
2022-02-01,39.040001,39.529999,38.154999,39.419998,39.419998,4596400
2022-02-02,39.580002,39.590000,38.040001,38.439999,38.439999,3970700
2022-02-03,37.669998,37.980000,36.230000,36.360001,36.360001,4777100
2022-02-04,36.520000,38.049999,36.264999,37.680000,37.680000,4289000
2022-02-07,37.834999,40.150002,37.834999,39.099998,39.099998,7371500
2022-02-08,38.730000,41.400002,38.299999,41.200001,41.200001,20228400
2022-02-09,40.285000,44.169998,38.799999,44.000000,44.000000,25765800
2022-02-10,43.599998,45.648998,41.709999,42.099998,42.099998,24087900
2022-02-11,42.150002,42.555000,38.939999,39.990002,39.990002,10544600
2022-02-14,39.980000,40.990002,39.419998,39.990002,39.990002,5718400
2022-02-15,41.000000,43.520000,40.730000,43.500000,43.500000,6474000
2022-02-16,43.009998,44.500000,42.813000,43.820000,43.820000,7198400
2022-02-17,43.160000,43.959999,42.369999,42.900002,42.900002,4367400
2022-02-18,42.900002,43.110001,41.040001,41.259998,41.259998,5786900
2022-02-22,40.840000,41.380001,37.820000,38.880001,38.880001,9340500
2022-02-23,39.240002,39.584999,37.290001,37.430000,37.430000,5046000
2022-02-24,34.820000,38.805000,34.575001,38.770000,38.770000,8756600
2022-02-25,39.150002,39.200001,37.639999,38.610001,38.610001,6208500
2022-02-28,38.150002,39.430000,37.919998,38.939999,38.939999,6901400
2022-03-01,38.509998,38.610001,36.520000,37.680000,37.680000,5937400
2022-03-02,38.049999,39.070000,37.459999,38.930000,38.930000,4479200
2022-03-03,38.939999,39.400002,36.570000,36.980000,36.980000,4316000
2022-03-04,36.459999,37.080002,34.700001,35.279999,35.279999,7619000
2022-03-07,36.919998,38.070000,34.439999,34.480000,34.480000,8673500
2022-03-08,34.400002,37.740002,34.130001,36.540001,36.540001,8070900
2022-03-09,38.009998,39.430000,37.470001,37.799999,37.799999,7336400
2022-03-10,36.830002,37.950001,36.610001,37.630001,37.630001,3869200
2022-03-11,38.070000,38.389999,37.180000,37.250000,37.250000,2798800
2022-03-14,37.060001,37.075001,35.080002,35.389999,35.389999,5478600
2022-03-15,35.750000,36.980000,34.959999,35.740002,35.740002,6629500
2022-03-16,36.759998,37.900002,36.209999,37.860001,37.860001,6779300
2022-03-17,37.849998,37.910000,36.615002,37.790001,37.790001,4810800
2022-03-18,37.610001,38.680000,37.529999,38.619999,38.619999,5562000
2022-03-21,37.910000,38.000000,36.220001,36.849998,36.849998,5596700
2022-03-22,37.139999,38.611000,36.869999,38.250000,38.250000,4818500
2022-03-23,37.980000,38.740002,37.529999,38.430000,38.430000,5154000
2022-03-24,38.430000,39.016998,37.119999,38.980000,38.980000,4886400
2022-03-25,39.000000,39.000000,37.209999,37.509998,37.509998,3394200
2022-03-28,37.540001,37.830002,36.500000,37.590000,37.590000,4280200
2022-03-29,38.040001,40.459000,38.040001,40.160000,40.160000,7119000
2022-03-30,39.750000,40.000000,38.215000,38.650002,38.650002,3777200
2022-03-31,38.799999,38.959999,37.630001,38.400002,38.400002,4736200
2022-04-01,38.400002,38.900002,37.240002,37.520000,37.520000,4260100
2022-04-04,37.930000,39.310001,37.660000,38.959999,38.959999,3527000
2022-04-05,38.980000,39.130001,37.029999,37.150002,37.150002,4198700
2022-04-06,36.380001,36.509998,34.889999,36.080002,36.080002,6662400
2022-04-07,36.090000,36.220001,33.599998,34.610001,34.610001,6403800
2022-04-08,34.195000,34.500000,33.369999,33.590000,33.590000,4696100
2022-04-11,32.930000,34.029999,32.349998,33.320000,33.320000,4052400
2022-04-12,33.619999,34.389999,33.130001,33.450001,33.450001,3880500
2022-04-13,33.560001,34.939999,33.403000,34.799999,34.799999,4059200
2022-04-14,35.060001,36.099998,34.770000,35.540001,35.540001,5632000
2022-04-18,35.290001,35.650002,34.384998,34.610001,34.610001,3041000
2022-04-19,34.959999,36.430000,34.855000,36.310001,36.310001,3967100
2022-04-20,36.500000,36.790001,35.611000,35.700001,35.700001,3289300
2022-04-21,36.590000,36.919998,33.970001,34.110001,34.110001,6109200
2022-04-22,34.139999,34.570000,32.869999,33.160000,33.160000,3653200
2022-04-25,32.849998,34.119999,32.709999,33.910000,33.910000,5292700
2022-04-26,33.360001,33.740002,32.400002,32.450001,32.450001,4226700
2022-04-27,32.070000,33.000000,31.520000,32.230000,32.230000,4989000
2022-04-28,32.900002,33.830002,31.879999,33.560001,33.560001,4543900
2022-04-29,33.259998,34.355000,32.560001,32.599998,32.599998,4721500
2022-05-02,32.259998,32.525002,29.930000,31.500000,31.500000,11738200
2022-05-03,31.389999,31.650000,30.059999,30.760000,30.760000,21704100
